Country,Channel Name,Category,Main Video Category,username,followers,Main topic,More topics,Likes,Boost Index,Engagement Rate,Engagement Rate 60days,Views,Views Avg.,Avg. 1 Day,Avg. 3 Day,Avg. 7 Day,Avg. 14 Day,Avg. 30 day,Avg. 60 day,Comments Avg,Youtube Link
US,Vlad và Nikita,Unknown,Entertainment,Vlad và Nikita,25300000,Lifestyle,"Music,Hobby,Lifestyle",38015965.4058577,79,1.050717915,0.169756023,16055918867,33811028.5,660250,660250,1110927,1112283.2,1857361,3977411.82352941,0,UCcOMTVILq-yIqtFmOqt-QOg
IN,Techno Gamerz,Unknown,Gaming,Techno Gamerz,27500000,Action game,"Gaming,Action game,Role-playing video game,Music,Action-adventure game",350302694.129032,20,0.262711508,0.300654301,6945063533,10295601.6666667,447485,1783978.5,3374544.33333333,5457865.33333333,7033370.27272727,7812998.57142857,32943.270967742,UCX8pnu3DYUnx8qy8V_c6oHg
US,Markiplier,Gaming & Apps,Gaming,Markiplier,33100000,Gaming,"Gaming,Action game,Role-playing video game,Action-adventure game",859070583.978982,80,0.104001857,0.109912599,18502660860,3858356.5,,1285662,1735298,2510203.66666667,2948056.82352941,3459967.95,12199.219026549,UC7_YxT-KID8kRbqZo7MyscQ
IN,SAB TV,Gaming & Apps,Entertainment,SAB TV,69300000,Entertainment,"Entertainment,TV shows,Movies",109283010.678162,70,0.002536362,0.003490035,80431073293,160502.897744041,72827.25,112895.188034188,140187.537313433,143057.956097561,216374.806818182,239781.155187446,77.124992901,UC6-F5tO8uklgE9Zy8IvbdFw
Unknown,Ed Sheeran,Music,Music,Ed Sheeran,52100000,Hip hop music,"Music,Hip hop music,Pop music,Rock music",97976609.8,82,0.424189408,0.027331229,27642363836,17368940.5,,,,,,1019705.6,9184.475,UC0C-w0YjGpqDXGB8IHb662A
IN,Aaj Tak,Gaming & Apps,News & Politics,Aaj Tak,52300000,Society,Society,204913414.410268,67,0.002471868,0.001271688,19574295579,68319.622638126,32979.651933702,35508.872549020,38195.909090909,44029.790598291,75312.649700599,65271.837083708,159.212370947,UCt4t-jeY85JegMlZ-E5UWtA
US,rezendeevil,Gaming & Apps,Gaming,rezendeevil,29600000,Technology,"Lifestyle,Technology",924433049.726815,78,0.026044129,0.016931530,12562836296,906547.163888889,82099.5,100924,178473.875,257987.333333333,381732.53125,419113.774193548,1917.941289240,UCbTVTephX30ZhQF5zwFppBg
US,Smosh,Gaming & Apps,Comedy,Smosh,25000000,Entertainment,"Entertainment,Lifestyle,Movies",63423871.8924731,82,0.054978010,0.018322223,10167665364,1668707.5,,191825,226571,221784.333333333,293990.923076923,408676.892857143,2467.537634409,UCY30JRSgfhYXA6i6xX1erWg
US,LooLoo Kids - Nursery Rhymes and Children's Songs,Music,Music,LooLoo Kids - Nursery Rhymes and Children's Songs,49400000,Entertainment,"Music,Movies,Entertainment",25323367.1528662,66,0.232845666,0.019711646,28700714072,18526700.5,,62846,206363.5,176466.625,371785.136363636,927003.6,29.627388535,UC4NALVCmcmL5ntpV0thoH6w
PR,Ozuna,Gaming & Apps,Music,Ozuna,35100000,Hip hop music,"Music,Hip hop music,Electronic music,Music of Latin America,Pop music",54789654.8690476,74,1.413863831,0.011736924,20871652286,57492026.25,0,0,0,0,0,0,12041.547619048,UCjIA3wwhi0QjSOXAZwOXbPA
